0,1
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131225.png,The
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131321.png,of
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 141009.png,alabama
C:\Users\diego\Downloads\line1\Screenshot 2024-03-28 131251.png,state
"C:\Users\diego\Downloads\line1\2024-03-29 15_22_51-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Be
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_03-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",it
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_25-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",remembered
"C:\Users\diego\Downloads\line1\2024-03-29 15_23_51-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",that
"C:\Users\diego\Downloads\line1\2024-03-29 15_24_26-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",there
"C:\Users\diego\Downloads\line1\2024-03-29 15_24_48-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Barbour
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_15-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",County
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_30-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",was
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",filed
"C:\Users\diego\Downloads\line1\2024-03-29 15_25_58-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_09-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_22-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",office
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 15_26_52-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 15_27_18-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Register
"C:\Users\diego\Downloads\line1\2024-03-29 15_27_49-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",&
"C:\Users\diego\Downloads\line1\2024-03-29 15_28_00-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Master
"C:\Users\diego\Downloads\line1\2024-03-29 15_28_25-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 15_58_52-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Chancery
"C:\Users\diego\Downloads\line1\2024-03-29 15_59_11-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",for
"C:\Users\diego\Downloads\line1\2024-03-29 16_09_19-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 16_09_31-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Chancery
"C:\Users\diego\Downloads\line1\2024-03-29 16_09_45-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",for
"C:\Users\diego\Downloads\line1\2024-03-29 16_09_55-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 16_10_04-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",ninth
"C:\Users\diego\Downloads\line1\2024-03-29 16_10_22-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Disctrict
"C:\Users\diego\Downloads\line1\2024-03-29 16_10_37-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 16_10_47-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 16_10_57-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Southern
"C:\Users\diego\Downloads\line1\2024-03-29 16_11_11-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Chancery
"C:\Users\diego\Downloads\line1\2024-03-29 16_11_21-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Division
"C:\Users\diego\Downloads\line1\2024-03-29 16_11_35-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 16_11_48-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",said
"C:\Users\diego\Downloads\line1\2024-03-29 16_11_57-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",State
"C:\Users\diego\Downloads\line1\2024-03-29 16_12_12-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",","
"C:\Users\diego\Downloads\line1\2024-03-29 16_12_21-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",a
"C:\Users\diego\Downloads\line1\2024-03-29 16_12_28-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",bill
"C:\Users\diego\Downloads\line1\2024-03-29 16_12_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 16_12_53-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",complaint
"C:\Users\diego\Downloads\line1\2024-03-29 16_13_02-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 16_13_12-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 16_16_38-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",words
"C:\Users\diego\Downloads\line1\2024-03-29 16_16_49-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",and
"C:\Users\diego\Downloads\line1\2024-03-29 16_16_57-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",figures
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_04-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",following
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_11-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",","
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_14-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",to
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_18-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",wit
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_25-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Master
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_36-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",State
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_44-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 16_17_55-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Alabama
"C:\Users\diego\Downloads\line1\2024-03-29 16_18_06-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",-
"C:\Users\diego\Downloads\line1\2024-03-29 16_18_09-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",SS
"C:\Users\diego\Downloads\line1\2024-03-29 16_19_07-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",at
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_31-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Clayton 
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_37-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",in
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_41-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_47-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",ninth
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_53-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Disctrict
"C:\Users\diego\Downloads\line1\2024-03-29 16_20_59-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",of
"C:\Users\diego\Downloads\line1\2024-03-29 16_21_03-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",the
"C:\Users\diego\Downloads\line1\2024-03-29 16_21_08-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Southern
"C:\Users\diego\Downloads\line1\2024-03-29 16_21_16-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Chancery
"C:\Users\diego\Downloads\line1\2024-03-29 16_21_22-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",Division
"C:\Users\diego\Downloads\line1\2024-03-29 16_21_25-Page 2 (Alabama Supreme Court Case Files, Betts et al. v. Betts) _ FromThePage.png",.
